Competition,Type of race,Sex,HOST NATION,Country,DAY,MONTH,YEAR,TIME,Latitude,Longitude,NOAA Station ID,Station Location,Distance from location (km),Air Temperature (C),Dew Point (C),Wind Speed (m/s),Adjusted wind speed,Relative Humidity (%),Clouds (OKTA),Diff from requested Time (minutes),Time zone,Solar Radiation accounting for clouds (tilt surface)(W/m},Heat Index (National Oceanic and Atmospheric Administration; Last modified 2014) - [°C],Simplified Wet Bulb Globe Temperature (American College of Sports Medicine; 1984) - [°C],Wet Bulb Globe Temperature (outdoor) (Yaglou; 1956) - [°C],World Record,Standing record,Finished time (1st),Finished time (2nd),Finished time (3rd),Finished time (4th),Finished time (5th),Finished time (6th),Finished time (7th),Finished time (8th),Finished time (9th),Finished time (10th),time_avgTop3
World Championships,20k,Men,Edmonton,Canada,12,8,2001,15:50:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,27.0,16.0,6.1,2.5,51.0,13,,-6,0,27.5,26.4,21.7,01:17:46,01:19:37,01:20:31,01:20:33,01:20:36,01:20:55,01:21:09,01:22:05,01:22:11,01:22:20,01:22:42,01:23:14,01:20:33
World Championships,20k,Men,Edmonton,Canada,4,8,2001,15:50:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,22.0,12.0,1.7,0.7,53.1,0,,-6,0,21.6,21.9,17.3,01:17:46,01:19:37,01:20:31,01:20:33,01:20:36,01:20:55,01:21:09,01:22:05,01:22:11,01:22:20,01:22:42,01:23:14,01:20:33
World Championships,20k,Women,Edmonton,Canada,9,8,2001,19:15:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,21.3,10.2,0.0,0.0,49.2,1,,-6,106,20.8,20.9,17.9,01:27:30,01:30:50,01:27:48,01:28:49,01:28:56,01:29:48,01:30:19,01:30:39,01:30:41,01:31:40,01:32:27,01:33:52,01:28:31
Common Wealth,20k,Men,Manchester, England,28,7,2002,8:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,16.9,13.0,5.1,2.1,77.8,6,0,1,569,16.7,19.4,17.8,01:17:22,01:24:59,01:25:35,01:26:03,01:28:20,01:29:15,01:37:29,,,,,,01:26:39
Common Wealth,20k,Women,Manchester,England,28,7,2002,15:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,23.4,12.9,2.6,1.1,51.7,2,0,0,621,23.1,23.1,22.5,,,,,,,,,,,,,#DIV/0!
World Cup,20k,Men,Torino,ITALY,12,10,2002,14:30:00,45.0677551,7.6824892,16061099999,IT; TORINO BRIC CROCE,5.5,18.0,7.0,0.0,0.0,48.6,2,25,2,597,17.1,18.1,23.2,01:17:22,01:18:49,01:21:26,01:21:50,01:22:01,01:22:52,01:23:07,01:23:07,01:23:18,01:23:46,01:23:49,01:23:57,01:21:46
World Cup,20k,Women,Torino,ITALY,12,10,2002,16:15:00,45.0677551,7.6824892,16061099999,IT; TORINO BRIC CROCE,5.5,17.0,7.0,0.0,0.0,51.8,2,45,2,490,16.1,17.5,20.9,01:26:22,01:27:32,01:28:55,01:28:57,01:28:59,01:29:12,01:29:25,01:30:05,01:30:37,01:30:57,01:31:10,01:31:41,01:28:57
World Championships,20k,Men,Paris Saint-Denis,FRANCE,23,8,2003,8:30:00,48.8705131,2.3528928,7156099999,FR; PARIS MONTSOURIS,6.2,18.2,16.0,2.1,0.9,87.0,8,30,2,5,18.3,21.4,16.9,01:17:46,01:19:37,01:17:21,01:18:00,01:18:07,01:18:14,01:19:35,01:19:40,01:19:46,01:20:14,01:20:15,01:20:24,01:17:49
World Championships,20k,Women,Paris Saint-Denis,FRANCE,24,8,2003,9:30:00,48.8705131,2.3528928,7156099999,FR; PARIS MONTSOURIS,6.2,24.2,15.9,4.1,1.7,59.9,3,30,2,177,24.2,24.8,21.1,01:26:22,01:27:48,01:26:52,01:27:34,01:28:10,01:28:53,01:29:09,01:29:14,01:29:34,01:29:44,01:30:15,01:30:34,01:27:32
Olympic,20k,Men,Athens,Greece,20,8,2004,9:00:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,28.0,10.0,0.5,0.2,32.0,3,,3,384,27.2,24.6,24.7,01:17:21,01:19:57,01:19:40,01:19:45,01:20:02,01:20:38,01:20:55,01:21:40,01:21:53,01:21:56,01:22:08,01:22:19,01:19:49
Olympic,20k,Women,Athens,Greece,23,8,2004,9:00:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,30.4,11.7,2.6,1.1,31.7,0,0,3,377,29.3,26.6,24.2,01:26:22,01:29:05,01:29:12,01:29:16,01:29:25,01:29:39,01:29:52,01:29:57,01:30:06,01:30:16,01:30:22,01:30:37,01:29:18
